query_id,query_text,language_label,semantic_type,relevant_passage_ids,retrieval_sources,split
Q_094,What are my rights if my employer doesn’t give my final pay?,English,Case-Law,"['PASSAGE_26609', 'PASSAGE_04299', 'PASSAGE_13806']","{'PASSAGE_26609': ['msbert'], 'PASSAGE_04299': ['bge_m3'], 'PASSAGE_13806': ['msbert']}",train
Q_095,Pwede ba i-evict ang squatter agad without court order?,English,Case-Law,"['PASSAGE_19441', 'PASSAGE_08799', 'PASSAGE_17915', 'PASSAGE_18602', 'PASSAGE_19440', 'PASSAGE_04253']","{'PASSAGE_19441': ['msbert'], 'PASSAGE_08799': ['bge_m3'], 'PASSAGE_17915': ['msbert'], 'PASSAGE_18602': ['bge_m3'], 'PASSAGE_19440': ['msbert'], 'PASSAGE_04253': ['bge_m3']}",train
Q_096,Ano ang legal effect ng handwritten will?,English,Definitional,[],{},train
Q_097,"Kapag may anak kami pero hindi kasal, sino may custody?",Tagalog,Case-Law,"['PASSAGE_06971', 'PASSAGE_18328', 'PASSAGE_18327']","{'PASSAGE_06971': ['bge_m3'], 'PASSAGE_18328': ['bge_m3'], 'PASSAGE_18327': ['bge_m3']}",train
Q_098,Pwede ba ang baptismal certificate bilang proof of identity?,English,Case-Law,"['PASSAGE_07026', 'PASSAGE_11177', 'PASSAGE_11343', 'PASSAGE_11350']","{'PASSAGE_07026': ['bge_m3'], 'PASSAGE_11177': ['msbert', 'bge_m3'], 'PASSAGE_11343': ['msbert', 'bge_m3'], 'PASSAGE_11350': ['bge_m3']}",train
Q_099,Ano ang penalty sa reckless imprudence resulting in damage to property?,English,Definitional,['PASSAGE_12216'],"{'PASSAGE_12216': ['msbert', 'bge_m3']}",train
Q_100,"Kapag may pinirmahan akong contract na di ko fully naintindihan, valid pa ba yun?",Tagalog,Case-Law,"['PASSAGE_15883', 'PASSAGE_04850', 'PASSAGE_09305']","{'PASSAGE_15883': ['bge_m3'], 'PASSAGE_04850': ['bge_m3'], 'PASSAGE_09305': ['bge_m3']}",train
Q_101,"Under Philippine law, paano ina-apply ang Article 15 ng Civil Code sa legal capacity ng isang Filipino abroad?",Tagalog,Procedural,['PASSAGE_10360'],"{'PASSAGE_10360': ['msbert', 'bge_m3']}",train
Q_102,"Kapag ang isang kasal ay ginawa abroad pero hindi sinunod ang Philippine formalities, void ba agad yun?",Tagalog,Case-Law,"['PASSAGE_10349', 'PASSAGE_28904', 'PASSAGE_18378']","{'PASSAGE_10349': ['bge_m3'], 'PASSAGE_28904': ['bge_m3'], 'PASSAGE_18378': ['bge_m3']}",train
Q_103,Ano ang legal effect ng psychological incapacity sa marriage cases?,English,Definitional,"['PASSAGE_23306', 'PASSAGE_23171', 'PASSAGE_23290', 'PASSAGE_09913', 'PASSAGE_23142', 'PASSAGE_09224']","{'PASSAGE_23306': ['msbert'], 'PASSAGE_23171': ['bge_m3'], 'PASSAGE_23290': ['msbert'], 'PASSAGE_09913': ['bge_m3'], 'PASSAGE_23142': ['msbert'], 'PASSAGE_09224': ['bge_m3']}",test
Q_104,Pwede bang ma-recognize sa Pilipinas ang foreign divorce ng isang Filipino spouse?,Tagalog,Case-Law,"['PASSAGE_06965', 'PASSAGE_18378', 'PASSAGE_09552', 'PASSAGE_10349', 'PASSAGE_06968', 'PASSAGE_10344']","{'PASSAGE_06965': ['msbert'], 'PASSAGE_18378': ['msbert', 'bge_m3'], 'PASSAGE_09552': ['msbert', 'bge_m3'], 'PASSAGE_10349': ['msbert', 'bge_m3'], 'PASSAGE_06968': ['bge_m3'], 'PASSAGE_10344': ['bge_m3']}",train
Q_105,"Kapag ang property ay nasa pangalan lang ng isang asawa, paano hinahati sa separation of property?",Tagalog,Procedural,"['PASSAGE_04796', 'PASSAGE_07099']","{'PASSAGE_04796': ['bge_m3'], 'PASSAGE_07099': ['bge_m3']}",train
Q_106,Ano ang remedies kapag may forged deed of sale sa lupa?,Tagalog,Definitional,"['PASSAGE_13343', 'PASSAGE_13320', 'PASSAGE_13319']","{'PASSAGE_13343': ['bge_m3'], 'PASSAGE_13320': ['bge_m3'], 'PASSAGE_13319': ['bge_m3']}",train
Q_107,Paano pinapatunayan ang intestate succession kapag walang will?,Tagalog,Procedural,"['PASSAGE_10318', 'PASSAGE_15256', 'PASSAGE_15508']","{'PASSAGE_10318': ['bge_m3'], 'PASSAGE_15256': ['bge_m3'], 'PASSAGE_15508': ['bge_m3']}",train
Q_108,Ano ang epekto ng an omitted compulsory heir sa partition of estate?,English,Definitional,"['PASSAGE_14312', 'PASSAGE_12520', 'PASSAGE_21622', 'PASSAGE_12508']","{'PASSAGE_14312': ['msbert'], 'PASSAGE_12520': ['bge_m3'], 'PASSAGE_21622': ['bge_m3'], 'PASSAGE_12508': ['msbert', 'bge_m3']}",test
Q_109,"Pwede bang ma-set aside ang contract dahil sa mistake, fraud, or undue influence?",English,Case-Law,[],{},test
Q_110,What is the legal basis for a writ of amparo?,English,Definitional,"['PASSAGE_06408', 'PASSAGE_06409', 'PASSAGE_23992', 'PASSAGE_25588', 'PASSAGE_24001', 'PASSAGE_06413']","{'PASSAGE_06408': ['msbert', 'bge_m3'], 'PASSAGE_06409': ['msbert', 'bge_m3'], 'PASSAGE_23992': ['bge_m3'], 'PASSAGE_25588': ['legal_bert'], 'PASSAGE_24001': ['msbert'], 'PASSAGE_06413': ['bge_m3']}",train
Q_111,"Kapag ang arrest ay ginawa without a valid warrant, anong remedies ang available?",Code-Switched,Case-Law,"['PASSAGE_27215', 'PASSAGE_12003', 'PASSAGE_26584']","{'PASSAGE_27215': ['msbert'], 'PASSAGE_12003': ['msbert'], 'PASSAGE_26584': ['bge_m3']}",train
Q_112,Ano ang difference ng illegal dismissal at constructive dismissal?,Other,Definitional,"['PASSAGE_04571', 'PASSAGE_05349', 'PASSAGE_16952', 'PASSAGE_26098', 'PASSAGE_22832']","{'PASSAGE_04571': ['msbert', 'bge_m3'], 'PASSAGE_05349': ['msbert', 'bge_m3'], 'PASSAGE_16952': ['msbert', 'bge_m3'], 'PASSAGE_26098': ['bge_m3'], 'PASSAGE_22832': ['bge_m3']}",test
Q_113,"Kapag may employee na nag-resign under pressure, considered voluntary ba yun?",Code-Switched,Case-Law,"['PASSAGE_08639', 'PASSAGE_13806', 'PASSAGE_13807', 'PASSAGE_13199', 'PASSAGE_16952']","{'PASSAGE_08639': ['msbert'], 'PASSAGE_13806': ['bge_m3'], 'PASSAGE_13807': ['msbert'], 'PASSAGE_13199': ['msbert'], 'PASSAGE_16952': ['bge_m3']}",train
Q_114,Paano ina-assess ang probable cause sa filing of criminal complaints?,English,Procedural,"['PASSAGE_16598', 'PASSAGE_15433', 'PASSAGE_23782', 'PASSAGE_09419', 'PASSAGE_16597', 'PASSAGE_15435', 'PASSAGE_09093']","{'PASSAGE_16598': ['bge_m3'], 'PASSAGE_15433': ['legal_bert'], 'PASSAGE_23782': ['bge_m3'], 'PASSAGE_09419': ['legal_bert'], 'PASSAGE_16597': ['bge_m3'], 'PASSAGE_15435': ['legal_bert'], 'PASSAGE_09093': ['msbert', 'bge_m3']}",test
Q_115,Ano ang legal process kapag gusto kong magpa-kas ng child support?,Tagalog,Definitional,"['PASSAGE_14785', 'PASSAGE_15965', 'PASSAGE_14771', 'PASSAGE_14778']","{'PASSAGE_14785': ['msbert'], 'PASSAGE_15965': ['bge_m3'], 'PASSAGE_14771': ['msbert'], 'PASSAGE_14778': ['bge_m3']}",train
Q_116,"Kapag may online scam na ginawa gamit ang e-wallet, anong kaso ang possible?",Tagalog,Case-Law,"['PASSAGE_02239', 'PASSAGE_02240', 'PASSAGE_02241', 'PASSAGE_02243', 'PASSAGE_08837', 'PASSAGE_02242']","{'PASSAGE_02239': ['msbert'], 'PASSAGE_02240': ['bge_m3'], 'PASSAGE_02241': ['msbert', 'bge_m3'], 'PASSAGE_02243': ['bge_m3'], 'PASSAGE_08837': ['msbert'], 'PASSAGE_02242': ['bge_m3']}",test
Q_117,Ano ang standards para masabing defamatory ang isang social media post?,Tagalog,Definitional,"['PASSAGE_13077', 'PASSAGE_13075', 'PASSAGE_13117']","{'PASSAGE_13077': ['bge_m3'], 'PASSAGE_13075': ['bge_m3'], 'PASSAGE_13117': ['bge_m3']}",train
Q_118,Pwede bang gamitin ang CCTV footage as evidence kahit walang consent?,Code-Switched,Case-Law,['PASSAGE_12551'],"{'PASSAGE_12551': ['msbert', 'bge_m3']}",train
Q_119,Paano ina-apply ang chain of custody sa drug cases?,English,Procedural,"['PASSAGE_23835', 'PASSAGE_13531', 'PASSAGE_05113', 'PASSAGE_10456', 'PASSAGE_19986', 'PASSAGE_05683', 'PASSAGE_05121']","{'PASSAGE_23835': ['msbert', 'bge_m3'], 'PASSAGE_13531': ['bge_m3'], 'PASSAGE_05113': ['msbert'], 'PASSAGE_10456': ['bge_m3'], 'PASSAGE_19986': ['bge_m3'], 'PASSAGE_05683': ['msbert'], 'PASSAGE_05121': ['msbert']}",train
Q_120,"Kapag may overlapping claims sa ancestral land, anong legal framework ang ginagamit?",Tagalog,Case-Law,"['PASSAGE_10627', 'PASSAGE_10839', 'PASSAGE_10628']","{'PASSAGE_10627': ['bge_m3'], 'PASSAGE_10839': ['bge_m3'], 'PASSAGE_10628': ['msbert']}",train
Q_121,Ano ang parusa sa illegal logging?,Tagalog,Definitional,"['PASSAGE_24253', 'PASSAGE_00233', 'PASSAGE_09097', 'PASSAGE_24243']","{'PASSAGE_24253': ['bge_m3'], 'PASSAGE_00233': ['msbert', 'bge_m3'], 'PASSAGE_09097': ['msbert'], 'PASSAGE_24243': ['bge_m3']}",train
Q_122,Revised Penal Code article 294,English,Case-Law,[],{},train
Q_123,"Yung business namin sinisiraan online ng dating partner namin gamit fake posts and comments, anong ikakaso sa kanya at anong proof ang need?",Tagalog,Case-Law,['PASSAGE_13075'],{'PASSAGE_13075': ['bge_m3']},train
Q_124,Penalty ng qualified theft?,English,Definitional,"['PASSAGE_07620', 'PASSAGE_22705', 'PASSAGE_07621', 'PASSAGE_07618', 'PASSAGE_12635']","{'PASSAGE_07620': ['bge_m3'], 'PASSAGE_22705': ['msbert'], 'PASSAGE_07621': ['bge_m3'], 'PASSAGE_07618': ['msbert', 'bge_m3'], 'PASSAGE_12635': ['bge_m3']}",train
Q_125,Anong parusa sa mild physical injuries na gawa ng ibang tao sakin?,Tagalog,Definitional,"['PASSAGE_11674', 'PASSAGE_26160']","{'PASSAGE_11674': ['bge_m3'], 'PASSAGE_26160': ['bge_m3']}",train
Q_126,Marriage annulment law?,English,Case-Law,"['PASSAGE_22748', 'PASSAGE_22466', 'PASSAGE_08940', 'PASSAGE_10066', 'PASSAGE_04156', 'PASSAGE_23193', 'PASSAGE_23100', 'PASSAGE_23099', 'PASSAGE_09224']","{'PASSAGE_22748': ['msbert'], 'PASSAGE_22466': ['bge_m3'], 'PASSAGE_08940': ['msbert'], 'PASSAGE_10066': ['bge_m3'], 'PASSAGE_04156': ['msbert'], 'PASSAGE_23193': ['bge_m3'], 'PASSAGE_23100': ['legal_bert'], 'PASSAGE_23099': ['msbert'], 'PASSAGE_09224': ['bge_m3']}",train
Q_127,Pwede bang managot yung boyfriend ko na palagi akong minumura at binabantaan na sasaktan ako?,Tagalog,Case-Law,['PASSAGE_27670'],{'PASSAGE_27670': ['msbert']},train
Q_128,"Yung kaibigan ko binubugbog ng asawa nya, ano pwede ko gawin?",Tagalog,Case-Law,"['PASSAGE_16617', 'PASSAGE_11660', 'PASSAGE_27670', 'PASSAGE_10059']","{'PASSAGE_16617': ['bge_m3'], 'PASSAGE_11660': ['bge_m3'], 'PASSAGE_27670': ['msbert'], 'PASSAGE_10059': ['bge_m3']}",train
Q_129,Pwede ko ba kasuhan katrabaho ko na may matagal nang utang sa akin kahit ang pruweba ko lang ay mga text namin?,Tagalog,Case-Law,"['PASSAGE_16825', 'PASSAGE_10102', 'PASSAGE_16820']","{'PASSAGE_16825': ['bge_m3'], 'PASSAGE_10102': ['bge_m3'], 'PASSAGE_16820': ['bge_m3']}",train
Q_130,Counted ba as theft yung kumukuha ng pera yung asawa ko nang palihim sa shared savings namin?,Tagalog,Definitional,"['PASSAGE_22702', 'PASSAGE_07618']","{'PASSAGE_22702': ['bge_m3'], 'PASSAGE_07618': ['bge_m3']}",train
Q_131,What do I do kapag binibisita pa rin ako ng ex ko even when I told him to stay away?,Tagalog,Procedural,"['PASSAGE_11633', 'PASSAGE_05506', 'PASSAGE_12464', 'PASSAGE_26433']","{'PASSAGE_11633': ['msbert'], 'PASSAGE_05506': ['bge_m3'], 'PASSAGE_12464': ['legal_bert'], 'PASSAGE_26433': ['msbert']}",train
Q_132,"Naghiwalay na kami ng asawa ko pero ayaw nya ibigay sakin yung share ko sa savings namin and other assets na dapat para sa akin, ano ang pwede ko ikaso sa kanya?",Tagalog,Definitional,"['PASSAGE_04796', 'PASSAGE_05209', 'PASSAGE_18685']","{'PASSAGE_04796': ['bge_m3'], 'PASSAGE_05209': ['bge_m3'], 'PASSAGE_18685': ['bge_m3']}",train
Q_133,RA 9262 explanation,English,Case-Law,[],{},train
Q_134,Law against defamation,English,Definitional,"['PASSAGE_13083', 'PASSAGE_22553', 'PASSAGE_13113', 'PASSAGE_09582', 'PASSAGE_13079']","{'PASSAGE_13083': ['msbert'], 'PASSAGE_22553': ['bge_m3'], 'PASSAGE_13113': ['msbert', 'bge_m3'], 'PASSAGE_09582': ['bge_m3'], 'PASSAGE_13079': ['msbert']}",train
Q_135,What is the law on custody of children under the family law?,English,Definitional,"['PASSAGE_18329', 'PASSAGE_18328', 'PASSAGE_18330', 'PASSAGE_18327', 'PASSAGE_06971']","{'PASSAGE_18329': ['msbert', 'bge_m3'], 'PASSAGE_18328': ['msbert', 'bge_m3'], 'PASSAGE_18330': ['msbert'], 'PASSAGE_18327': ['bge_m3'], 'PASSAGE_06971': ['bge_m3']}",train
Q_136,Madedemanda ko ba kapatid ko kapag nasira nya yung gamit ko na di ko naman pinagamit sa kanya,Tagalog,Case-Law,[],{},train
Q_137,What are the consequences if a parent neglects to support a child?,English,Case-Law,"['PASSAGE_14785', 'PASSAGE_02493', 'PASSAGE_00223', 'PASSAGE_18330', 'PASSAGE_03694', 'PASSAGE_02494', 'PASSAGE_03693']","{'PASSAGE_14785': ['msbert'], 'PASSAGE_02493': ['msbert', 'bge_m3'], 'PASSAGE_00223': ['msbert', 'bge_m3'], 'PASSAGE_18330': ['msbert'], 'PASSAGE_03694': ['bge_m3'], 'PASSAGE_02494': ['msbert'], 'PASSAGE_03693': ['bge_m3']}",train
Q_138,Pwede bang idemanda ang partner mo kung sinisira niya yung personal things mo kapag nag-aaway kayo?,Tagalog,Case-Law,['PASSAGE_04796'],{'PASSAGE_04796': ['bge_m3']},test
Q_139,Pwede bang managot ang taong nagpakalat ng larawan mo nang walang consent?,Tagalog,Case-Law,['PASSAGE_12551'],{'PASSAGE_12551': ['bge_m3']},test
Q_140,What are the elements of grave threats?,English,Definitional,[],{},train
Q_141,law against identity theft?,English,Definitional,"['PASSAGE_12639', 'PASSAGE_17646', 'PASSAGE_25496']","{'PASSAGE_12639': ['msbert'], 'PASSAGE_17646': ['msbert'], 'PASSAGE_25496': ['msbert']}",train
Q_142,Ano yung legal basis ng support for illegitimate children?,Code-Switched,Case-Law,"['PASSAGE_23289', 'PASSAGE_00217', 'PASSAGE_17863', 'PASSAGE_00223']","{'PASSAGE_23289': ['bge_m3'], 'PASSAGE_00217': ['msbert'], 'PASSAGE_17863': ['bge_m3'], 'PASSAGE_00223': ['bge_m3']}",train
Q_143,Sakop ba ng VAWC kapag yung partner ko naninira ng gamit ko pag nag-aaway kami?,Tagalog,Definitional,[],{},train
Q_144,"May isang tao na pinapirma yung lola ko sa papel na hindi niya maintindihan tapos doon pala nailipat yung rights sa property, may habol ba kami?",Tagalog,Case-Law,"['PASSAGE_10232', 'PASSAGE_08389', 'PASSAGE_15297', 'PASSAGE_16541', 'PASSAGE_06710']","{'PASSAGE_10232': ['msbert'], 'PASSAGE_08389': ['bge_m3'], 'PASSAGE_15297': ['bge_m3'], 'PASSAGE_16541': ['bge_m3'], 'PASSAGE_06710': ['bge_m3']}",train
Q_145,"May isang co-owner na nagrerenta ng buong lupa kahit hindi pumayag yung iba, tapos siya lang ang tumatanggap ng bayad, paano ito tinatrato sa civil law?",Tagalog,Procedural,"['PASSAGE_24349', 'PASSAGE_13041', 'PASSAGE_13040', 'PASSAGE_06708']","{'PASSAGE_24349': ['bge_m3'], 'PASSAGE_13041': ['bge_m3'], 'PASSAGE_13040': ['bge_m3'], 'PASSAGE_06708': ['bge_m3']}",train
Q_146,penalty for slander?,Other,Definitional,[],{},train
Q_147,Pwede bang humingi ng support sa tatay na hindi nagbibigay sa anak?,Tagalog,Case-Law,"['PASSAGE_14787', 'PASSAGE_14785', 'PASSAGE_14786', 'PASSAGE_00214']","{'PASSAGE_14787': ['bge_m3'], 'PASSAGE_14785': ['bge_m3'], 'PASSAGE_14786': ['bge_m3'], 'PASSAGE_00214': ['bge_m3']}",train
Q_148,What is the legal effect of a fake signature on a deed?,English,Definitional,"['PASSAGE_12192', 'PASSAGE_19577', 'PASSAGE_13334', 'PASSAGE_13215']","{'PASSAGE_12192': ['msbert'], 'PASSAGE_19577': ['bge_m3'], 'PASSAGE_13334': ['msbert'], 'PASSAGE_13215': ['msbert']}",train
Q_149,Pwede bang pigilan ang isang tao na pumasok sa property mo?,Tagalog,Case-Law,"['PASSAGE_22181', 'PASSAGE_27363', 'PASSAGE_07921', 'PASSAGE_25114', 'PASSAGE_08670', 'PASSAGE_27365']","{'PASSAGE_22181': ['msbert'], 'PASSAGE_27363': ['bge_m3'], 'PASSAGE_07921': ['bge_m3'], 'PASSAGE_25114': ['bge_m3'], 'PASSAGE_08670': ['msbert'], 'PASSAGE_27365': ['bge_m3']}",train
Q_150,What can be done if a co-owner keeps all the rent from a shared property?,English,Case-Law,"['PASSAGE_24349', 'PASSAGE_24350', 'PASSAGE_24345']","{'PASSAGE_24349': ['bge_m3'], 'PASSAGE_24350': ['bge_m3'], 'PASSAGE_24345': ['bge_m3']}",train
Q_151,"Yung isang tao sa pamilya namin kinukuha yung mga gamit sa bahay at sinasabing kanya raw lahat dahil siya ang nagbabayad ng rent, ano ang rights naming ibang nakatira doon?",Tagalog,Definitional,"['PASSAGE_24349', 'PASSAGE_09470']","{'PASSAGE_24349': ['bge_m3'], 'PASSAGE_09470': ['bge_m3']}",train
Q_152,"Yung ex ko nag-post ng screenshots ng private messages namin at ginamit pa para siraan ako sa trabaho, may kaso ba kahit walang physical harm?",Tagalog,Case-Law,"['PASSAGE_16953', 'PASSAGE_12551']","{'PASSAGE_16953': ['bge_m3'], 'PASSAGE_12551': ['bge_m3']}",train
Q_153,"May tao na pumasok sa bakuran namin at kumuha ng gamit na hindi naman sa kanya, tapos sabi niya may utang daw kami sa kanya kaya kinuha niya, anong pwede naming gawin?",Tagalog,Case-Law,['PASSAGE_12636'],{'PASSAGE_12636': ['bge_m3']},test
Q_154,"Ayaw ibigay ng seller ang property kahit bayad na, ano pwede parusa?",Tagalog,Definitional,"['PASSAGE_19521', 'PASSAGE_26284']","{'PASSAGE_19521': ['bge_m3'], 'PASSAGE_26284': ['legal_bert', 'msbert']}",train
Q_155,"Pinagbabantaan ako na kukunin ang anak ko, ano dapat ko gawin?",Tagalog,Case-Law,"['PASSAGE_27670', 'PASSAGE_11696']","{'PASSAGE_27670': ['msbert'], 'PASSAGE_11696': ['bge_m3']}",train
Q_156,Ano ang slander at anong law yun,Tagalog,Definitional,"['PASSAGE_14021', 'PASSAGE_26922', 'PASSAGE_13959']","{'PASSAGE_14021': ['msbert'], 'PASSAGE_26922': ['bge_m3'], 'PASSAGE_13959': ['bge_m3']}",train
Q_157,Para saan pagfifile ng restraining order?,Tagalog,Procedural,"['PASSAGE_15195', 'PASSAGE_15191', 'PASSAGE_13897', 'PASSAGE_20853']","{'PASSAGE_15195': ['bge_m3'], 'PASSAGE_15191': ['bge_m3'], 'PASSAGE_13897': ['bge_m3'], 'PASSAGE_20853': ['bge_m3']}",train
Q_158,What if a spouse disappears and leaves debts?,English,Case-Law,"['PASSAGE_09146', 'PASSAGE_07100', 'PASSAGE_09222']","{'PASSAGE_09146': ['msbert', 'bge_m3'], 'PASSAGE_07100': ['msbert'], 'PASSAGE_09222': ['bge_m3']}",test
Q_159,Pwede bang bawiin ang pirma sa kasunduan?,Tagalog,Case-Law,['PASSAGE_06180'],{'PASSAGE_06180': ['legal_bert']},train
Q_160,What if a parent blocks access to a child?,English,Case-Law,"['PASSAGE_18326', 'PASSAGE_23077', 'PASSAGE_18328', 'PASSAGE_19896', 'PASSAGE_18330']","{'PASSAGE_18326': ['bge_m3'], 'PASSAGE_23077': ['legal_bert'], 'PASSAGE_18328': ['msbert'], 'PASSAGE_19896': ['bge_m3'], 'PASSAGE_18330': ['msbert']}",train
Q_161,"May kakilala ako na hindi na pinapayagan ng asawa niya makita yung anak nila at binabantaan pa siyang padadalhan ng pulis kapag sinubukan nya, anong ikakaso?",Tagalog,Case-Law,[],{},train
Q_162,"Yung tatay ng bata, biglang nawala at ayaw nang magbigay ng kahit anong help, pero may messages sila na nag-uusap tungkol sa support, puwede ba iyon gamiting ebidensya?",Tagalog,Case-Law,"['PASSAGE_06290', 'PASSAGE_10150']","{'PASSAGE_06290': ['bge_m3'], 'PASSAGE_10150': ['msbert']}",train
Q_163,"May tao na nagpakalat ng edited screenshots para palabasing may utang ako sa kanya, tapos ginamit niya iyon para takutin akong magbayad, ano ang puwede kong gawin?",Tagalog,Definitional,"['PASSAGE_10961', 'PASSAGE_12307', 'PASSAGE_13075']","{'PASSAGE_10961': ['bge_m3'], 'PASSAGE_12307': ['bge_m3'], 'PASSAGE_13075': ['bge_m3']}",train
Q_164,Pwede bang magreklamo kung may nagbanta sa text?,Tagalog,Procedural,"['PASSAGE_27670', 'PASSAGE_16773', 'PASSAGE_10232', 'PASSAGE_27669']","{'PASSAGE_27670': ['msbert'], 'PASSAGE_16773': ['msbert'], 'PASSAGE_10232': ['msbert'], 'PASSAGE_27669': ['legal_bert']}",test
Q_165,Anong pwede ikaso sa falsification of documents?,English,Case-Law,"['PASSAGE_13760', 'PASSAGE_09092', 'PASSAGE_05556', 'PASSAGE_13742', 'PASSAGE_23976']","{'PASSAGE_13760': ['bge_m3'], 'PASSAGE_09092': ['bge_m3'], 'PASSAGE_05556': ['msbert'], 'PASSAGE_13742': ['bge_m3'], 'PASSAGE_23976': ['bge_m3']}",train
Q_166,"My ex-boyfriend is threatening me na i-le-leak niya raw mga private photos at videos namin sa Telegram group kapag hindi ako nakipagbalikan sa kanya. Takot na takot na ako, pwede ko ba siyang ipa-kulong sa VAWC or may ibang mas mabilis na batas para dito?",Tagalog,Case-Law,"['PASSAGE_27589', 'PASSAGE_12551']","{'PASSAGE_27589': ['msbert'], 'PASSAGE_12551': ['bge_m3']}",train
Q_167,"Yung asawa ko bigla na lang akong pinalayas sa bahay namin tapos dinala niya lahat ng passbook ng joint accounts namin at yung titulo ng lupa na nakapangalan sa aming dalawa. Pwede ko ba siyang kasuhan ng theft kahit mag-asawa kami, o counted ba 'to na abuse?",Tagalog,Definitional,"['PASSAGE_04796', 'PASSAGE_23861']","{'PASSAGE_04796': ['bge_m3'], 'PASSAGE_23861': ['bge_m3']}",test
Q_168,Pwede bang maging ground for legal separation kung nahuli ko yung asawa kong lalaki na may pamilya na pala sa ibang probinsya? Gusto ko na rin makuha yung full custody ng mga anak namin.,Tagalog,Case-Law,"['PASSAGE_23093', 'PASSAGE_06965', 'PASSAGE_18328', 'PASSAGE_18327', 'PASSAGE_23082']","{'PASSAGE_23093': ['bge_m3'], 'PASSAGE_06965': ['msbert'], 'PASSAGE_18328': ['msbert'], 'PASSAGE_18327': ['bge_m3'], 'PASSAGE_23082': ['bge_m3']}",train
Q_169,Valid ba yung pre-nuptial agreement na pinirmahan namin ng fiance ko bago kami ikasal kung ginawa lang namin sa papel at hindi naman dinala sa notaryo?,Tagalog,Case-Law,"['PASSAGE_15883', 'PASSAGE_15886']","{'PASSAGE_15883': ['bge_m3'], 'PASSAGE_15886': ['bge_m3']}",train
Q_170,"Nag-file kami ng case against sa driver na nakabangga sa amin pero sabi ng lawyer may jurisprudence raw tungkol sa ""temperate damages"", ano ba ibig sabihin nun.",Tagalog,Definitional,"['PASSAGE_11865', 'PASSAGE_18625']","{'PASSAGE_11865': ['bge_m3'], 'PASSAGE_18625': ['bge_m3']}",train
Q_171,"May nakita akong post sa FB na ginamit yung picture ko para manloko ng tao sa buy and sell group, tapos ang nakalagay dun scammer daw ako at magnanakaw. Sobrang daming nag-she-share at nag-mu-mura sa akin sa comments kahit hindi naman ako yun. Cyber-libel ba ito or identity theft, at ano ang pwede kong ikaso sa gumawa ng fake account?",Tagalog,Definitional,"['PASSAGE_13091', 'PASSAGE_26220']","{'PASSAGE_13091': ['bge_m3'], 'PASSAGE_26220': ['bge_m3']}",train
Q_172,"Hinarang ng mga pulis yung pinsan ko sa daan habang naglalakad, tapos pinilit nilang buksan yung sling bag niya kahit wala naman silang pinapakitang warrant. Bigla silang may ""nakitang"" maliit na sachet ng drugs sa loob. Pwede ba namin ma-question sa court na illegal search and seizure yung ginawa sa kanya para mabasura yung kaso?",Tagalog,Case-Law,"['PASSAGE_12005', 'PASSAGE_24276', 'PASSAGE_15152']","{'PASSAGE_12005': ['bge_m3'], 'PASSAGE_24276': ['bge_m3'], 'PASSAGE_15152': ['bge_m3']}",train
Q_173,Ano ang exact legal distinction ng homicide sa murder kapag walang planong pumatay pero may ginamit na patalim?,Tagalog,Definitional,"['PASSAGE_04600', 'PASSAGE_13382', 'PASSAGE_20049', 'PASSAGE_16656', 'PASSAGE_12276', 'PASSAGE_26776', 'PASSAGE_08979', 'PASSAGE_11055']","{'PASSAGE_04600': ['msbert'], 'PASSAGE_13382': ['bge_m3'], 'PASSAGE_20049': ['msbert'], 'PASSAGE_16656': ['bge_m3'], 'PASSAGE_12276': ['msbert'], 'PASSAGE_26776': ['bge_m3'], 'PASSAGE_08979': ['msbert'], 'PASSAGE_11055': ['bge_m3']}",test
Q_174,"Elements ng robbery with violence or intimidation, iba ba to sa simpleng pagnanakaw lang?",Tagalog,Definitional,"['PASSAGE_10003', 'PASSAGE_10002', 'PASSAGE_16810', 'PASSAGE_07617']","{'PASSAGE_10003': ['bge_m3'], 'PASSAGE_10002': ['bge_m3'], 'PASSAGE_16810': ['bge_m3'], 'PASSAGE_07617': ['bge_m3']}",train
Q_175,Pwede bang makasuhan ng trespassing yung may-ari ng lupa kung pumasok siya sa bahay ng tenant nang walang paalam habang may contract pa?,Tagalog,Case-Law,"['PASSAGE_14292', 'PASSAGE_05616', 'PASSAGE_02089']","{'PASSAGE_14292': ['bge_m3'], 'PASSAGE_05616': ['bge_m3'], 'PASSAGE_02089': ['bge_m3']}",train
Q_176,"Hiwalay na kami ng live-in partner ko for 2 years at may anak kaming isa. Ayaw niya magbigay ng kahit magkanong support sa bata kahit alam kong malaki ang sahod niya sa IT firm. Kapag humihingi ako, sinasabihan niya lang ako na mag-trabaho ako at huwag umasa sa kanya. Pwede ko ba siyang balikan at kasuhan ng economic abuse under VAWC para mapwersa siyang mag-sustento?",Tagalog,Case-Law,"['PASSAGE_17864', 'PASSAGE_14784', 'PASSAGE_14771']","{'PASSAGE_17864': ['bge_m3'], 'PASSAGE_14784': ['bge_m3'], 'PASSAGE_14771': ['bge_m3']}",train
